id,name,desc,icon_id,color,_note,remark_balance
goblin,哥布林,【基礎素體】防線基石。,goblin,bg-green-700,給企劃看,
wolf,野狼,【突進單位】撕咬前排。,wolf,bg-amber-800,,
elf,精靈,【遠程支援】箭術壓制。,elf,bg-cyan-700,,
rage_potion,狂暴藥劑,【戰吼】範圍加速或植入強化。,rage_potion,bg-red-700,,
stone_armor,石膚術,【護壁】召喚石碑或強化生命。,stone_armor,bg-slate-600,,
fire_enchant,火焰附魔,【焚燒】範圍灼傷或燃燒威脅。,fire_enchant,bg-orange-600,,
upgrade,禁忌知識,【主堡研發】,upgrade,bg-purple-800,,
abomination,失控畸變體,【崩壞產物】,abomination,bg-rose-900,,
monolith,擋路石碑,【臨時實體】,monolith,bg-stone-400,,
goblin_knight,哥布林騎士,融合：哥布林+狼,goblin_knight,bg-emerald-700,,
goblin_mage,哥布林法師,融合：精靈+哥布林,goblin_mage,bg-violet-700,,
goblin_magic_knight,魔武哥布林,三重融合,goblin_magic_knight,bg-fuchsia-700,,
blood_rage_imprint,狂血刻印,【刻印】HP 每降 3 攻 +1。,blood_rage_imprint,bg-red-900,,
shatter_armor_imprint,碎甲刻印,【刻印】攻擊時更易擊退敵方。,shatter_armor_imprint,bg-orange-900,,
vital_cycle,生生不息,【強化】每回合開始額外獲得 1 張魔礦草法術牌。,vital_cycle,bg-emerald-900,,
breath_of_death,死亡氣息,【強化】我方單位死亡後灰燼生成骷髏。,breath_of_death,bg-slate-800,,
wild_impulse,野性的衝動,【強化】灰燼洗回魔典時牌獲得基因突變+1（生命／攻擊／DP+1，可疊加）。,wild_impulse,bg-violet-900,,
skeleton,骷髏,【代幣】0 費骷髏士兵；消滅：部署後死亡不再回到手牌。,skeleton,bg-slate-700,,
slime,史萊姆,【基礎單位】膠狀小怪。,slime,bg-lime-500,,
split_slime,分裂史萊姆,【融合】史萊姆+史萊姆。分裂：死亡後原格召喚史萊姆。,split_slime,bg-lime-600,,
mucus_goblin,黏液哥布林,【融合】史萊姆+哥布林。黏著者：被攻擊時攻擊方下回合遲緩（敏捷-2）。,mucus_goblin,bg-lime-700,,
mucus_wolf,黏液狼,【融合】史萊姆+野狼。滲透者：高移動低血突進。,mucus_wolf,bg-amber-700,,
magic_ore_grass,魔礦草,【法術】回合結束時若仍在手牌：額外 +1 DP。燒毀。,magic_ore_grass,bg-emerald-700,,
